company_name,domain,playbook
Dobra Energia Dla Olsztyna,energiaolsztyn.pl,"Cement, Energy & RDF Off-takers"
Dortmunder Energie- und Wasserversorgung GmbH (DEW21),dew21.de,"Cement, Energy & RDF Off-takers"
Duna-Dráva Cement Kft.,duna-drava.hu,"Cement, Energy & RDF Off-takers"
Dyckerhoff,dyckerhoff.com,"Cement, Energy & RDF Off-takers"
Dyckerhoff Polska,dyckerhoff.pl,"Cement, Energy & RDF Off-takers"
EEW Energy from Waste GmbH,eew-energyfromwaste.com,"Cement, Energy & RDF Off-takers"
EEW Energy from Waste Stapelfeld GmbH,eon-energyfromwaste.com,"Cement, Energy & RDF Off-takers"
EGK Entsorgungsgesellschaft Krefeld GmbH & Co. KG,egk.de,"Cement, Energy & RDF Off-takers"
Eko Toplane Banja Luka,ekotoplanebanjaluka.com,"Cement, Energy & RDF Off-takers"
Energie Thun AG,energiethun.ch,"Cement, Energy & RDF Off-takers"
Energie Zürichsee Linth AG,ezl.ch,"Cement, Energy & RDF Off-takers"
erzo KVA,erzo-kva.ch,"Cement, Energy & RDF Off-takers"
EVI Abfallverwertung B.V. & Co. KG,evi-europark.de,"Cement, Energy & RDF Off-takers"
Fels-Werke GmbH,fels.de,"Cement, Energy & RDF Off-takers"
Finnsementti Oy,finnsementti.fi,"Cement, Energy & RDF Off-takers"
Fjernvarme Fyn,fjernvarmefyn.dk,"Cement, Energy & RDF Off-takers"
FORTE Energie GmbH & Co.KG,forte-energie.de,"Cement, Energy & RDF Off-takers"
Fortum,fortum.com,"Cement, Energy & RDF Off-takers"
Frederikshavn Forsyning,forsyningen.dk,"Cement, Energy & RDF Off-takers"
Fredrikstad Fjernvarme AS,ffas.no,"Cement, Energy & RDF Off-takers"
GEKAL-KVA Buchs,kva-buchs.ch,"Cement, Energy & RDF Off-takers"
GEMINOR,geminor.no,"Cement, Energy & RDF Off-takers"
Gesellschaft Abfallwirtschaft Breisgau,abfallwirtschaft-breisgau.de,"Cement, Energy & RDF Off-takers"
GEVAG,gevag.ch,"Cement, Energy & RDF Off-takers"
GfA - Gemeinsames Kommunalunternehmen für Abfallwirtschaft A. d. ö. R.,gfa-online.com,"Cement, Energy & RDF Off-takers"
GFAW Gesellschaft für Abfallwirtschaft mbH,gfaw-i.de,"Cement, Energy & RDF Off-takers"
GML – Gemeinschafts-Müllheizkraftwerk Ludwigshafen GmbH,gml-ludwigshafen.de,"Cement, Energy & RDF Off-takers"
GÓRKA CEMENT Sp. z o.o.,gorka.com.pl,"Cement, Energy & RDF Off-takers"
HEB GmbH Hagener Entsorgungsbetrieb,heb-hagen.de,"Cement, Energy & RDF Off-takers"
Hessler Kalkwerke GmbH,hessler-kalkwerk.de,"Cement, Energy & RDF Off-takers"
InterCal Group,intercal.org,"Cement, Energy & RDF Off-takers"
Intereko Energia Sp. z o.o.,interekoenergia.pl,"Cement, Energy & RDF Off-takers"
Interzero Austria,interzero.at,"Cement, Energy & RDF Off-takers"
Interzero Hrvatska,interzero.hr,"Cement, Energy & RDF Off-takers"
Interzero Polska,interzero.pl,"Cement, Energy & RDF Off-takers"
June Avfall & Miljö AB,juneavfall.se,"Cement, Energy & RDF Off-takers"
JURA Materials,juramaterials.ch,"Cement, Energy & RDF Off-takers"
KALK A/S,kalk.dk,"Cement, Energy & RDF Off-takers"
Kalkfabrik Netstal AG,kfn.ch,"Cement, Energy & RDF Off-takers"
Kalkwerke Otto Breckweg GmbH & CO.KG,breckweg.de,"Cement, Energy & RDF Off-takers"
kenova AG,kenova.ch,"Cement, Energy & RDF Off-takers"
Kirchdorfer Group,kirchdorfer.at,"Cement, Energy & RDF Off-takers"
Kongerslev Kalk A/S,kongerslev-kalk.dk,"Cement, Energy & RDF Off-takers"
KVA Linth,kva-linth.ch,"Cement, Energy & RDF Off-takers"
Landratsamt Tuttlingen Abfallwirtschaft,abfall-tuttlingen.de,"Cement, Energy & RDF Off-takers"
Leube Baustoffe,leube.eu,"Cement, Energy & RDF Off-takers"
Lhoist Germany / Rheinkalk,lhoist.com,"Cement, Energy & RDF Off-takers"
Limeco Regiowerk,limeco.ch,"Cement, Energy & RDF Off-takers"
Loacker Recycling GmbH,loacker-recycling.com,"Cement, Energy & RDF Off-takers"
Lukavac Cement d.o.o.,lukavaccement.ba,"Cement, Energy & RDF Off-takers"
Marius Pedersen A/S,mariuspedersen.dk,"Cement, Energy & RDF Off-takers"
MGG Polymers,mgg-polymers.com,"Cement, Energy & RDF Off-takers"
Miejska Energetyka Cieplna Sp. z o.o. w Koszalinie,meckoszalin.pl,"Cement, Energy & RDF Off-takers"
Miejskie Przedsiębiorstwo Energetyki Cieplnej - Konin Sp. z o.o.,mpec.konin.pl,"Cement, Energy & RDF Off-takers"
Moravacem a CRH company,moravacem.rs,"Cement, Energy & RDF Off-takers"
MVV Energie AG,mvv.de,"Cement, Energy & RDF Off-takers"
Märker Gruppe,maerker-gruppe.de,"Cement, Energy & RDF Off-takers"
Målarkalk AB,malarkalk.se,"Cement, Energy & RDF Off-takers"
Müller-Guttenbrunn Gruppe,mgg-recycling.com,"Cement, Energy & RDF Off-takers"
Nachtrab Abfallwirtschaft,nachtrab-abfallwirtschaft.de,"Cement, Energy & RDF Off-takers"
Nehlsen AG,nehlsen.com,"Cement, Energy & RDF Off-takers"
NEXE Group,nexe.hr,"Cement, Energy & RDF Off-takers"
Nordkalk Corporation,nordkalk.com,"Cement, Energy & RDF Off-takers"
Norfors,norfors.dk,"Cement, Energy & RDF Off-takers"
NSR AB,nsr.se,"Cement, Energy & RDF Off-takers"
OLO - Odvoz a likvidácia odpadu,olo.sk,"Cement, Energy & RDF Off-takers"
OPTERRA - a CRH Company,opterra-crh.com,"Cement, Energy & RDF Off-takers"
Paprec Schweiz,paprec.ch,"Cement, Energy & RDF Off-takers"
Polcalc Nawozy Wapniowe,polcalc.pl,"Cement, Energy & RDF Off-takers"
Port Czystej Energii,portczystejenergii.pl,"Cement, Energy & RDF Off-takers"
Považská cementáreň Ladce,pcla.sk,"Cement, Energy & RDF Off-takers"
PÖPPEL Abfallwirtschaft und Städtereinigung GmbH,poeppel.de,"Cement, Energy & RDF Off-takers"
Ragn-Sells,ragnsells.se,"Cement, Energy & RDF Off-takers"
Ragn-Sells AS,ragnsells.no,"Cement, Energy & RDF Off-takers"
Ragn-Sells Danmark A/S,ragnsells.dk,"Cement, Energy & RDF Off-takers"
Ragn-Sells Estonia,ragnsells.ee,"Cement, Energy & RDF Off-takers"
Ragn-Sells Group,ragnsells.com,"Cement, Energy & RDF Off-takers"
REFA,refa.dk,"Cement, Energy & RDF Off-takers"
Remiro Abfallwirtschaft GmbH,remiro.de,"Cement, Energy & RDF Off-takers"
REMONDIS A/S,remondisdanmark.dk,"Cement, Energy & RDF Off-takers"
"REMONDIS GmbH & Co. KG, Region Nord",remondis-entsorgung.de,"Cement, Energy & RDF Off-takers"
REMONDIS Industrie Service,remondis-industrie-service.de,"Cement, Energy & RDF Off-takers"
Remondis International GmbH,remondis.com,"Cement, Energy & RDF Off-takers"
REMONDIS Niederrhein GmbH,remondis-niederrhein.de,"Cement, Energy & RDF Off-takers"
Remondis Polska,remondis-polska.pl,"Cement, Energy & RDF Off-takers"
REMONDIS Production GmbH,remondis-production.de,"Cement, Energy & RDF Off-takers"
REMONDIS Recycling,remondis-recycling.de,"Cement, Energy & RDF Off-takers"
REMONDIS Recycling AG,remondis-recycling.ch,"Cement, Energy & RDF Off-takers"
REMONDIS SEKA Miljöteknik AB,sekamiljoteknik.se,"Cement, Energy & RDF Off-takers"
REMONDIS Sverige,remondisrecycling.se,"Cement, Energy & RDF Off-takers"
Reno-Vest IKS,reno-vest.no,"Cement, Energy & RDF Off-takers"
Renova,renova.se,"Cement, Energy & RDF Off-takers"
RETERRA Erden Süd GmbH,reterra-erden.de,"Cement, Energy & RDF Off-takers"
RETERRA Service GmbH,reterra.de,"Cement, Energy & RDF Off-takers"
Riikinvoima Oy,riikinvoima.fi,"Cement, Energy & RDF Off-takers"
Rohrdorfer,rohrdorfer.eu,"Cement, Energy & RDF Off-takers"
Romcim a CRH Company,romcim.ro,"Cement, Energy & RDF Off-takers"
S.C. MGG Recycling S.R.L.,mgg-ro.com,"Cement, Energy & RDF Off-takers"
SAKO Brno a.s.,sako.cz,"Cement, Energy & RDF Off-takers"
Saubermacher-Magyarország Ltd.,saubermacher.hu,"Cement, Energy & RDF Off-takers"
Schaefer Kalk,schaeferkalk.de,"Cement, Energy & RDF Off-takers"
Schretter & Cie GmbH & Co KG,schretter.tirol,"Cement, Energy & RDF Off-takers"
SCHWENK Deutschland,schwenk.de,"Cement, Energy & RDF Off-takers"
SCHWENK Latvija,schwenk.lv,"Cement, Energy & RDF Off-takers"
SCHWENK Suomi,schwenk.fi,"Cement, Energy & RDF Off-takers"
SCHWENK Sverige AB,schwenk.se,"Cement, Energy & RDF Off-takers"
Signum Abfallwirtschaft GmbH,signum-abfallwirtschaft.de,"Cement, Energy & RDF Off-takers"
SMA Mineral,smamineral.se,"Cement, Energy & RDF Off-takers"
Soceram,soceram.ro,"Cement, Energy & RDF Off-takers"
Sortera,sortera.se,"Cement, Energy & RDF Off-takers"
Spenner GmbH & Co. KG,spenner-gruppe.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Bad Vilbel GmbH,sw-bv.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Düsseldorf,swd-ag.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Erfurt Gruppe,stadtwerke-erfurt.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Halle GmbH,swh.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Judenburg AG,stadtwerke.co.at,"Cement, Energy & RDF Off-takers"
Stadtwerke Karlsruhe,stadtwerke-karlsruhe.de,"Cement, Energy & RDF Off-takers"
STADTWERKE KELHEIM GmbH & Co KG,stadtwerke-kelheim.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Kufstein GmbH,stwk.at,"Cement, Energy & RDF Off-takers"
Stadtwerke Ludwigsburg-Kornwestheim GmbH,swlb.de,"Cement, Energy & RDF Off-takers"
Stadtwerke München GmbH,swm.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Rodgau,stadtwerke-rodgau.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Rosenheim GmbH & Co. KG,swro.de,"Cement, Energy & RDF Off-takers"
StadtWerke Rösrath,stadtwerke-roesrath.de,"Cement, Energy & RDF Off-takers"
Stadtwerke Tübingen GmbH,swtue.de,"Cement, Energy & RDF Off-takers"
Stockholm Exergi,stockholmexergi.se,"Cement, Energy & RDF Off-takers"
SWN Stadtwerke Neumünster,stadtwerke-neumuenster.de,"Cement, Energy & RDF Off-takers"
Sysav,sysav.se,"Cement, Energy & RDF Off-takers"
Titan Albania,anteacement.com,"Cement, Energy & RDF Off-takers"
Titan Cementara Kosjerić,titan.rs,"Cement, Energy & RDF Off-takers"
TITAN SHARRCEM,sharrcem.com,"Cement, Energy & RDF Off-takers"
Titan Usje,usje.mk,"Cement, Energy & RDF Off-takers"
Titan Zlatna Panega Cement,titan.bg,"Cement, Energy & RDF Off-takers"
Trzuskawica (Grupa Ożarów lime),trzuskawica.pl,"Cement, Energy & RDF Off-takers"
VADEC SA,vadec.ch,"Cement, Energy & RDF Off-takers"
VEOLIA CZECH REPUBLIC,veolia.cz,"Cement, Energy & RDF Off-takers"
Veolia | Polska,veolia.pl,"Cement, Energy & RDF Off-takers"
Veolia | България,veolia.bg,"Cement, Energy & RDF Off-takers"
Veolia ￨ Hungary,veolia.hu,"Cement, Energy & RDF Off-takers"
Vestforbrænding,vestfor.dk,"Cement, Energy & RDF Off-takers"
Vigier Ciment,vigier-ciment.ch,"Cement, Energy & RDF Off-takers"
Vigier Holding AG,vigier.ch,"Cement, Energy & RDF Off-takers"
Wietersdorfer Gruppe,wietersdorfer.com,"Cement, Energy & RDF Off-takers"
Wolfsburger Abfallwirtschaft und Straßenreinigung,was-wolfsburg.de,"Cement, Energy & RDF Off-takers"
Wopfinger Baustoffindustrie (Baumit),wopfingerbaustoffe.at,"Cement, Energy & RDF Off-takers"
ZAB - Zweckverband Abfallverwertung Bazenheid,zab.ch,"Cement, Energy & RDF Off-takers"
ZAK - Zentrale Abfallwirtschaft Kaiserslautern AöR,zak-kl.de,"Cement, Energy & RDF Off-takers"
Zva Zweckverband Abfallwirtschaft,zva-erlangen.de,"Cement, Energy & RDF Off-takers"
Zweckverband Abfallwirtschaft Celle,zacelle.de,"Cement, Energy & RDF Off-takers"
Zweckverband Abfallwirtschaft Donau-Wald,awg.de,"Cement, Energy & RDF Off-takers"
Zweckverband Abfallwirtschaft Hildesheim,zah-hildesheim.de,"Cement, Energy & RDF Off-takers"
Zweckverband Abfallwirtschaft Oberes Elbtal,zaoe.de,"Cement, Energy & RDF Off-takers"
Zweckverband Abfallwirtschaft Saale-Orla (ZASO),zaso-online.de,"Cement, Energy & RDF Off-takers"
Zweckverband Abfallwirtschaft Vogelsbergkreis,zav-online.de,"Cement, Energy & RDF Off-takers"
Zweckverband Abfallwirtschaft Werra-Meißner-Kreis,zva-wmk.de,"Cement, Energy & RDF Off-takers"
Zweckverband Abfallwirtschaft Westsachsen,zawsachsen.de,"Cement, Energy & RDF Off-takers"
Zweckverband Für Abfallwirtschaft,zaw-coburg.de,"Cement, Energy & RDF Off-takers"
Zweckverband für Abfallwirtschaft Kempten,zak-kempten.de,"Cement, Energy & RDF Off-takers"
ŚGP INDUSTRIA S.A.,industria.eu,"Cement, Energy & RDF Off-takers"
A + B Umweltservice,abumwelt.de,Municipal & Public Waste Operators
Aalborg Forsyning,aalborgforsyning.dk,Municipal & Public Waste Operators
ABAS Miljøservice,abas.dk,Municipal & Public Waste Operators
Abfall-Service Osterholz GmbH,aso-ohz.de,Municipal & Public Waste Operators
Abfallentsorgungs- und Stadtreinigungsbetrieb der Stadt Chemnitz (ASR),asr-chemnitz.de,Municipal & Public Waste Operators
Abfallwirtschaft,abfallwirtschaft.landkreis-harburg.de,Municipal & Public Waste Operators
Abfallwirtschaft GmbH Halle - Lochau,aw-halle.de,Municipal & Public Waste Operators
Abfallwirtschaft Heidekreis AHK,ahk-heidekreis.de,Municipal & Public Waste Operators
Abfallwirtschaft Hohenlohekreis,abfallwirtschaft-hohenlohekreis.de,Municipal & Public Waste Operators
Abfallwirtschaft Lahn-Fulda,a-lf.de,Municipal & Public Waste Operators
Abfallwirtschaft Landkreis Fulda,abfallwirtschaft-landkreis-fulda.de,Municipal & Public Waste Operators
Abfallwirtschaft Nordharz GmbH,abfallwirtschaft-nordharz-gmbh.de,Municipal & Public Waste Operators
Abfallwirtschaft Rems-Murr,abfallwirtschaft-rems-murr.de,Municipal & Public Waste Operators
Abfallwirtschaft Schleswig-Flensburg,asf-online.de,Municipal & Public Waste Operators
Abfallwirtschaft Stuttgart Aws,ans-ev.de,Municipal & Public Waste Operators
Abfallwirtschaft Tirol Mitte Gmbh,atm-online.at,Municipal & Public Waste Operators
Abfallwirtschaft Torgau-Oschatz GmbH,ato-online.de,Municipal & Public Waste Operators
Abfallwirtschaft und Stadtreinigung Freiburg GmbH,abfallwirtschaft-freiburg.de,Municipal & Public Waste Operators
Abfallwirtschaft Vechta,abfallwirtschaft-vechta.de,Municipal & Public Waste Operators
Abfallwirtschaft Wetteraukreis,awb-wetterau.de,Municipal & Public Waste Operators
Abfallwirtschaftsbetrieb Kiel (ABK),abki.de,Municipal & Public Waste Operators
Abfallwirtschaftsbetrieb Landkreis Altenkirchen,awb-ak.de,Municipal & Public Waste Operators
Abfallwirtschaftsbetrieb Landkreis Pfaffenhofen,awp-paf.de,Municipal & Public Waste Operators
Abfallwirtschaftsbetrieb Landkreis Wolfenbüttel,alw-wf.de,Municipal & Public Waste Operators
Abfallwirtschaftsbetrieb München,awm-muenchen.de,Municipal & Public Waste Operators
Abfallwirtschaftsbetrieb Stadt Nürnberg,asn.nuernberg.de,Municipal & Public Waste Operators
Abfallwirtschaftsbetrieb Unstrut-Hainich-Kreis,abfallwirtschaft-uhk.de,Municipal & Public Waste Operators
Abfallwirtschaftsbetriebe Köln GmbH (AWB Köln),awbkoeln.de,Municipal & Public Waste Operators
AbfallWirtschaftsGesellschaft mbH Bassum,awg-bassum.de,Municipal & Public Waste Operators
Abfallzweckverband Rhein-Mosel-Eifel,dzv-eiterkoepfe.de,Municipal & Public Waste Operators
Abfallzweckverband Stadt und Landkreis Hof,azv-hof.de,Municipal & Public Waste Operators
Abfallzweckverband Südniedersachsen,as-nds.de,Municipal & Public Waste Operators
ADG Abfallwirtschaft Delmenhorst GmbH,adg-del.de,Municipal & Public Waste Operators
AEU Abfall-Entsorgung Ulm GmbH & Co. KG,abfall-entsorgung-ulm.de,Municipal & Public Waste Operators
AffaldPlus,affaldplus.dk,Municipal & Public Waste Operators
AFFALDSHELTEN ApS,affaldshelten.dk,Municipal & Public Waste Operators
Agder Renovasjon,agderrenovasjon.no,Municipal & Public Waste Operators
AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,agr.de,Municipal & Public Waste Operators
aha - Zweckverband Abfallwirtschaft Region Hannover,aha-region.de,Municipal & Public Waste Operators
ALFA Specialaffald,alfa.dk,Municipal & Public Waste Operators
Alles Miljø AS,alles.no,Municipal & Public Waste Operators
Allmiljö AB,allmiljo.se,Municipal & Public Waste Operators
Alvesta kommun,alvesta.se,Municipal & Public Waste Operators
Alytaus regiono atliekų tvarkymo centras,aratc.lt,Municipal & Public Waste Operators
Anhalt-Bitterfelder Kreiswerke,abikw.de,Municipal & Public Waste Operators
Anton Saxer AG Abfall-Translogistik,antonsaxer.ch,Municipal & Public Waste Operators
APM Abfallwirtschaft Potsdam-Mittelmark GmbH,apm-niemegk.de,Municipal & Public Waste Operators
ARGE Österreichischer Abfallwirtschaftsverbände,argeawv.at,Municipal & Public Waste Operators
Arnkværn miljø og renovasjon AS,arnkvaern.no,Municipal & Public Waste Operators
Assens Forsyning A/S,assensforsyning.dk,Municipal & Public Waste Operators
Atliekų Tvarkymo Centras UAB,atc.lt,Municipal & Public Waste Operators
Auer Abfallwirtschaft,auer-abfallwirtschaft.at,Municipal & Public Waste Operators
AUREC Gesellschaft für Abfallverwertung und Recycling mbH,aurec.de,Municipal & Public Waste Operators
AVE Abfallwirtschaft GmbH,avede.de,Municipal & Public Waste Operators
AVE CZ odpadové hospodářství s.r.o.,ave.cz,Municipal & Public Waste Operators
AVESTA VATTEN OCH AVFALL AB,avestavatten.se,Municipal & Public Waste Operators
Avfall & Återvinning Skaraborg,avfallskaraborg.se,Municipal & Public Waste Operators
Avfall Sverige,avfallsverige.se,Municipal & Public Waste Operators
Avfall Sør,avfallsor.no,Municipal & Public Waste Operators
Avfallskonsulten,avfallskonsulten.se,Municipal & Public Waste Operators
Avfallssekk AS,avfallsekk.no,Municipal & Public Waste Operators
AW SAS | Abfallwirtschaft Sachsen-Anhalt Süd AöR,awsas.de,Municipal & Public Waste Operators
AWG Abfallwirtschaft Landkreis Calw GmbH,awg-info.de,Municipal & Public Waste Operators
AWIGO Abfallwirtschaft Landkreis Osnabrück GmbH,awigo.de,Municipal & Public Waste Operators
AWISTA Gesellschaft für Abfallwirtschaft und Stadtreinigung mbH,awista.de,Municipal & Public Waste Operators
awm Abfallwirtschaftsbetriebe Münster,awm.stadt-muenster.de,Municipal & Public Waste Operators
AWR Abfallwirtschaft Rendsburg-Eckernförde GmbH,awr.de,Municipal & Public Waste Operators
AWSH Abfallwirtschaft Südholstein GmbH,awsh.de,Municipal & Public Waste Operators
BA Gjenvinning,bagjenvinning.no,Municipal & Public Waste Operators
Bakun Andrzej. Zakład oczyszczania terenu,bakun.net.pl,Municipal & Public Waste Operators
BARTECH RENOVASJON Norbert Plaszewski,bartechrenovasjon.no,Municipal & Public Waste Operators
Batterie-zurück – Gemeinsame Stelle für Kommunikation,batterie-zurueck.de,Municipal & Public Waste Operators
Bautzen - Der Landkreis,landkreis-bautzen.de,Municipal & Public Waste Operators
Bellersheim Abfallwirtschaft GmbH,bellersheim.de,Municipal & Public Waste Operators
Bergen Miljø & Gjenvinning,bmgbestilling.com,Municipal & Public Waste Operators
Berliner Stadtreinigung,bsr.de,Municipal & Public Waste Operators
Betrieb Abfallwirtschaft Nienburg/Weser,bawn.de,Municipal & Public Waste Operators
Bollnäs-Ovanåkers Renhållning AB (BORAB),borab.se,Municipal & Public Waste Operators
Bornholms Affaldsbehandling (BOFA),bofa.dk,Municipal & Public Waste Operators
Bornholms Energi & Forsyning,beof.dk,Municipal & Public Waste Operators
BRAUCO Rohr- und Umweltservice GmbH & Co. Dienstleistungen KG,brauco.de,Municipal & Public Waste Operators
Brdr Henriksen A/S,brdr-henriksen.dk,Municipal & Public Waste Operators
Brenden & Co gjenvinning AS,brendengjenvinning.no,Municipal & Public Waste Operators
Brønderslev Forsyning A/S,bronderslevforsyning.dk,Municipal & Public Waste Operators
Buskerud gjenvinning AS,buskerudgjenvinning.no,Municipal & Public Waste Operators
Bytomskie Przedsiębiorstwo Komunalne,bpk.pl,Municipal & Public Waste Operators
Campingplatz Zweckverband Grubenseen,halbendorf.de,Municipal & Public Waste Operators
Caruso Umweltservice GmbH,carusoumwelt.de,Municipal & Public Waste Operators
Częstochowskie Przedsiębiorstwo Komunalne,czpk.czest.pl,Municipal & Public Waste Operators
Dagligvarehandelens Miljøforum,dmf.no,Municipal & Public Waste Operators
Dala Vatten och Avfall,dalavattenavfall.se,Municipal & Public Waste Operators
Dansk Affald A/S,danskaffald.dk,Municipal & Public Waste Operators
Dansk Miljø & Genbrug - DMG,damilog.dk,Municipal & Public Waste Operators
Dansk Special Affald A/S,dsa-as.dk,Municipal & Public Waste Operators
Debreceni Hulladék Közszolgáltató,dhkkft.hu,Municipal & Public Waste Operators
Der Zweckverband,zweckverband-torgau.de,Municipal & Public Waste Operators
Der Zweckverband Abwasserentsorgung Rheinhessen,zweckverband-abwasserentsorgung-rheinhessen.de,Municipal & Public Waste Operators
Der Zweckverband Magnusgruppe,magnusgruppe.de,Municipal & Public Waste Operators
Die Bremer Stadtreinigung AöR,die-bremer-stadtreinigung.de,Municipal & Public Waste Operators
DIENES-GJENVINNING,dienes-gjenvinning.no,Municipal & Public Waste Operators
