rang;messe;ort;branche;aussteller_ca;besucher_ca;bruttoflaeche_m2_ca;rhythmus;bedeutung
40;GITEX Europe;Berlin;IT/Digital/Tech;1400;60000;80000;jährlich;Große Tech-/Startup-Messe (Europa-Debüt 2025)
41;AMB;Stuttgart;Metallbearbeitung;1300;90000;120000;alle 2 Jahre;Int. Messe Metallbearbeitung
42;INTERNORGA;Hamburg;Gastronomie/Hotellerie;1300;90000;100000;jährlich;Leitmesse Außer-Haus-Markt
43;INTERGASTRA;Stuttgart;Gastronomie/Hotellerie;1300;90000;100000;alle 2 Jahre;Große Gastronomie-Leitmesse
44;imm cologne;Köln;Möbel/Interior;1200;100000;180000;jährlich;Int. Einrichtungsmesse
45;embedded world;Nürnberg;Embedded Systems;1100;30000;60000;jährlich;Weltleitmesse Embedded-Technologien
46;Christmasworld;Frankfurt;Festdekoration;1000;40000;120000;jährlich;Weltleitmesse saisonale Dekoration
47;FIBO;Köln;Fitness/Wellness/Gesundheit;1000;130000;120000;jährlich;Weltleitmesse Fitness & Gesundheit
48;R+T;Stuttgart;Rollladen/Tore/Sonnenschutz;1000;65000;110000;alle 3 Jahre;Weltleitmesse Rollladen/Tore/Sonnenschutz
49;Prolight & Sound;Frankfurt;Veranstaltungstechnik;1000;40000;80000;jährlich;Int. Messe Veranstaltungstechnik
50;spoga+gafa;Köln;Garten/Outdoor;1000;30000;120000;jährlich;Weltgrößte Gartenmesse
51;ISPO München;München;Sportartikel;1000;50000;90000;jährlich;Führende Sportbusiness-Messe
52;Formnext;Frankfurt;Additive Fertigung/3D-Druck;850;35000;55000;jährlich;Weltleitmesse Additive Manufacturing
53;it-sa Expo&Congress;Nürnberg;IT-Security;800;25000;45000;jährlich;Europas größte IT-Security-Fachmesse
54;Fensterbau Frontale;Nürnberg;Fenster/Türen/Fassade;800;50000;90000;alle 2 Jahre;Weltleitmesse Fenster/Türen/Fassaden
55;ORGATEC;Köln;Büroeinrichtung;800;55000;110000;alle 2 Jahre;Leitmesse moderne Arbeitswelten
56;DMEXCO;Köln;Digital Marketing;800;40000;55000;jährlich;Führende Digital-Marketing-Messe Europas
57;IAA Mobility;München;Automobil/Mobilität;750;500000;90000;alle 2 Jahre;Große Publikums-/Mobilitätsmesse
58;AERO;Friedrichshafen;Allgemeine Luftfahrt;700;33000;60000;jährlich;Weltleitmesse General Aviation
