"company_name","company_domain","playbook_name","location","size_band"
"Riess Kelomat GmbH","riess.at","Precision Metal Forming","Austria","50+"
"RUBIG Group","rubig.com","Precision Metal Forming","Austria","50+"
"ruwido austria gmbh","ruwido.com","Precision Metal Forming","Austria","50+"
"S.I.E System Industrie Electronic GmbH","sie.at","Precision Metal Forming","Austria","50+"
"SAG Group (Salzburger Aluminium Group)","sag.at","Precision Metal Forming","Austria","50+"
"Schmid Schrauben Hainfeld GmbH","schrauben.at","Precision Metal Forming","Austria","50+"
"Schoeller Bleckmann Edelstahlrohr GmbH","sber.co.at","Precision Metal Forming","Austria","50+"
"Schoeller-Bleckmann Oilfield Equipment AG","sbo.at","Precision Metal Forming","Austria","50+"
"SIHGA GmbH","sihga.com","Precision Metal Forming","Austria","50+"
"SILGAN Metal Packaging","silganmp.com","Precision Metal Forming","Austria","50+"
"Silhouette International Schmied AG","silhouette-group.com","Precision Metal Forming","Austria","50+"
"SOLA Measuring Tools","sola.at","Precision Metal Forming","Austria","50+"
"Sound Solutions Austria GmbH","sound-solutions-austria.com","Precision Metal Forming","Austria","50+"
"Spiral Reihs & Co. KG","spiral.at","Precision Metal Forming","Austria","50+"
"Stanztech GmbH","stanztech.at","Precision Metal Forming","Austria","50+"
"STEYR ARMS GmbH","steyr-arms.com","Precision Metal Forming","Austria","50+"
"TCG Unitech GmbH","tcgunitech.com","Precision Metal Forming","Austria","50+"
"Team Styria Werkstätten GmbH","teamstyria.at","Precision Metal Forming","Austria","50+"
"TEST-FUCHS GmbH","test-fuchs.com","Precision Metal Forming","Austria","50+"
"Traktionssysteme Austria GmbH","tsa.at","Precision Metal Forming","Austria","50+"
"Trodat GmbH","trodat.net","Precision Metal Forming","Austria","50+"
"TUBEX Aluminium Tubes","tubex-tube.com","Precision Metal Forming","Austria","50+"
"TUPACK Verpackungen GesmbH","tupack.at","Precision Metal Forming","Austria","50+"
"Tyrolit Group","tyrolit.group","Precision Metal Forming","Austria","50+"
"ULBRICHTS GmbH","ulbrichts.com","Precision Metal Forming","Austria","50+"
"VENTREX Automotive GmbH","ventrex.com","Precision Metal Forming","Austria","50+"
"W&H Dentalwerk Bürmoos GmbH","wh.com","Precision Metal Forming","Austria","50+"
"Welser Profile GmbH","welser.com","Precision Metal Forming","Austria","50+"
"WILD Gruppe","wild.at","Precision Metal Forming","Austria","50+"
"Zelisko GmbH","zelisko.com","Precision Metal Forming","Austria","50+"
"ZKW Group GmbH","zkw-group.com","Precision Metal Forming","Austria","50+"
"A.G. Thorwarth Metallwarenfabrik GmbH","agthorwarth.de","Precision Metal Forming","Germany","50+"
"aap Implantate AG","aap.de","Precision Metal Forming","Germany","50+"
"ABC Umformtechnik GmbH & Co. KG","abc-umformtechnik.com","Precision Metal Forming","Germany","50+"
"ABUS August Bremicker Soehne KG","abus.com","Precision Metal Forming","Germany","50+"
"ADMEDES","admedes.com","Precision Metal Forming","Germany","50+"
"aha Albert Haag GmbH","aha-haag.de","Precision Metal Forming","Germany","50+"
"Ahlberg Metalltechnik GmbH","ahlberg-metalltechnik.de","Precision Metal Forming","Germany","50+"
"AHLE GmbH & Co. KG","ahle.de","Precision Metal Forming","Germany","50+"
"AHP GmbH","ahp-gmbh.de","Precision Metal Forming","Germany","50+"
"ALBERT WEBER","a-weber.com","Precision Metal Forming","Germany","50+"
"Alfred Kron GmbH","kron-solingen.de","Precision Metal Forming","Germany","50+"
"Allgaier-Group","allgaier-group.com","Precision Metal Forming","Germany","50+"
"alp GmbH","alpgmbh.de","Precision Metal Forming","Germany","50+"
"Altmann GmbH & Co. KG","altmann-industrietechnik.de","Precision Metal Forming","Germany","50+"
"ARNIO GmbH","arnio.de","Precision Metal Forming","Germany","50+"
"Arnold AG","arnold.de","Precision Metal Forming","Germany","50+"
"ARNOLD UMFORMTECHNIK GmbH & Co. KG","arnold-fastening.com","Precision Metal Forming","Germany","50+"
"Aug. Winkhaus GmbH & Co. KG","winkhaus.de","Precision Metal Forming","Germany","50+"
"August Friedberg GmbH","august-friedberg.com","Precision Metal Forming","Germany","50+"
"August Schmits Stanz- und Umformtechnik GmbH & Co. KG","asmetal.de","Precision Metal Forming","Germany","50+"
"August Vormann GmbH & Co. KG","vormann.com","Precision Metal Forming","Germany","50+"
"Aumann GmbH","aumann-gmbh.de","Precision Metal Forming","Germany","50+"
"Baier & Michels GmbH & Co. KG","baier-michels.com","Precision Metal Forming","Germany","50+"
"Bansbach easylift GmbH","bansbach.de","Precision Metal Forming","Germany","50+"
"Bayrak Technik GmbH","bayrak-technik.de","Precision Metal Forming","Germany","50+"
"BB Stanz- und Umformtechnik GmbH","bb-berga.de","Precision Metal Forming","Germany","50+"
"Becker & Co. KG Metallwarenfabrik","becker-triberg.de","Precision Metal Forming","Germany","50+"
"BEGO GmbH & Co. KG","bego.com","Precision Metal Forming","Germany","50+"
"Beier GmbH & Co. KG Siegen","beier-siegen.de","Precision Metal Forming","Germany","50+"
"Bergmann & Steffen GmbH","bergmann-steffen.de","Precision Metal Forming","Germany","50+"
"Bernecker Umformtechnik GmbH","bernecker-group.com","Precision Metal Forming","Germany","50+"
"Bernhard Foerster GmbH (FORESTADENT)","forestadent.com","Precision Metal Forming","Germany","50+"
"Bernhard Hohage GmbH & Co. KG","hohage-online.de","Precision Metal Forming","Germany","50+"
"BEULCO GmbH & Co. KG","beulco.de","Precision Metal Forming","Germany","50+"
"Beutlhauser GmbH & Co. KG","beutlhauser.com","Precision Metal Forming","Germany","50+"
"BILSTEIN","bilstein.com","Precision Metal Forming","Germany","50+"
"Bilstein & Siekermann GmbH + Co. KG","bsh-vs.com","Precision Metal Forming","Germany","50+"
"BINDER tecsys GmbH","binder-tecsys.com","Precision Metal Forming","Germany","50+"
"BKM Präzision GmbH","bkm-praezision.de","Precision Metal Forming","Germany","50+"
"Bleistahl Produktions GmbH & Co. KG","bleistahl.de","Precision Metal Forming","Germany","50+"
"BOA Group (BOA BKT GmbH)","boagroup.com","Precision Metal Forming","Germany","50+"
"Boehm Group GmbH","boehm-group.com","Precision Metal Forming","Germany","50+"
"Booster Precision Components","booster-precision.com","Precision Metal Forming","Germany","50+"
"brandgroup","brand-group.com","Precision Metal Forming","Germany","50+"
"Breyden GmbH","breyden.com","Precision Metal Forming","Germany","50+"
"BSB Metallverformung GmbH + Co. Stanzwerk","bsb-bwb.de","Precision Metal Forming","Germany","50+"
"Buehler Motor GmbH","buehlermotor.com","Precision Metal Forming","Germany","50+"
"Buerkert Fluid Control Systems","burkert.com","Precision Metal Forming","Germany","50+"
"Buerstätte Stanz- und Umformtechnik GmbH","buerstaette-stanzteile.de","Precision Metal Forming","Germany","50+"
"BURG-WAECHTER KG","burg.biz","Precision Metal Forming","Germany","50+"
"BURGER GROUP","burger-group.com","Precision Metal Forming","Germany","50+"
"Busch Industries GmbH","busch-industries.de","Precision Metal Forming","Germany","50+"
"Buschhoff Stanztechnik GmbH","buho.de","Precision Metal Forming","Germany","50+"
"Bühler","buehler-industrie.de","Precision Metal Forming","Germany","50+"
"Casco Automotive Group","cascoauto.com","Precision Metal Forming","Germany","50+"
"CAWI Stanztechnik GmbH","cawi.de","Precision Metal Forming","Germany","50+"
"Christian Bauer GmbH + Co. KG","christianbauer.com","Precision Metal Forming","Germany","50+"
"Cohline GmbH","cohline.de","Precision Metal Forming","Germany","50+"
"Conrad Stanztechnik GmbH","conrad-stanztechnik.de","Precision Metal Forming","Germany","50+"
"Cramer Stanztechnik GmbH","cramer-stanztechnik.com","Precision Metal Forming","Germany","50+"
"Czaja Stanzteile GmbH","czaja-stanzteile.com","Precision Metal Forming","Germany","50+"
"Daniel Gruppe GmbH","daniel-gruppe.de","Precision Metal Forming","Germany","50+"
"decor metall GmbH","decor-metall.de","Precision Metal Forming","Germany","50+"
"DENTAURUM GmbH & Co. KG","dentaurum.de","Precision Metal Forming","Germany","50+"
"Diehl Metall Stiftung & Co. KG","diehl.com","Precision Metal Forming","Germany","50+"
"Dilg GmbH","dilg-gmbh.de","Precision Metal Forming","Germany","50+"
"Dr. Franke GmbH & Co. KG","dr-franke-umformtechnik.de","Precision Metal Forming","Germany","50+"
"Dr. Fritz Faulhaber GmbH & Co. KG","faulhaber.com","Precision Metal Forming","Germany","50+"
"Dr. Hahn GmbH & Co. KG","dr-hahn.eu","Precision Metal Forming","Germany","50+"
"Drölle GmbH Stanz- und Umformtechnik","droelle-gmbh.de","Precision Metal Forming","Germany","50+"
"Dunkermotoren GmbH","dunkermotoren.com","Precision Metal Forming","Germany","50+"
"E-T-A Elektrotechnische Apparate GmbH","e-t-a.de","Precision Metal Forming","Germany","50+"
"E. Winkemann GmbH","winkemann.de","Precision Metal Forming","Germany","50+"
"EBH","ebh.com.de","Precision Metal Forming","Germany","50+"
"ebm-papst Group","ebmpapst.com","Precision Metal Forming","Germany","50+"
"Eckerle Group","eckerle-gruppe.com","Precision Metal Forming","Germany","50+"
"Egon Großhaus GmbH & Co. KG","grosshaus.de","Precision Metal Forming","Germany","50+"
"Eichsfelder Schraubenwerk GmbH (esw GROUP)","esw-group.eu","Precision Metal Forming","Germany","50+"
"EJOT Holding GmbH & Co. KG","ejot.com","Precision Metal Forming","Germany","50+"
"EJOT SE & Co. KG","ejot.de","Precision Metal Forming","Germany","50+"
"Elbracht Umformtechnik GmbH","elbracht-umformtechnik.de","Precision Metal Forming","Germany","50+"
"ElringKlinger AG","elringklinger.com","Precision Metal Forming","Germany","50+"
"emco Group","emco-group.com","Precision Metal Forming","Germany","50+"
"EMDE Stanztechnik GmbH","emde-stanztechnik.de","Precision Metal Forming","Germany","50+"
"Engelbert Sellmaier Feinwerktechnik GmbH","sellmaier.com","Precision Metal Forming","Germany","50+"
"Erdrich Umformtechnik GmbH","erdrich.de","Precision Metal Forming","Germany","50+"
"Erkert","erkert.de","Precision Metal Forming","Germany","50+"
"Ernst Klimmer GmbH","klimmer-gmbh.de","Precision Metal Forming","Germany","50+"
"Ernst Reiner GmbH & Co. KG","reiner.de","Precision Metal Forming","Germany","50+"
"ERNST Umformtechnik GmbH","ernst.de","Precision Metal Forming","Germany","50+"
"Ernst W. Velleuer GmbH & Co. KG","velleuer.de","Precision Metal Forming","Germany","50+"
"ERSATECH Metallbearbeitung GmbH","ersa-tech.de","Precision Metal Forming","Germany","50+"
"Erwin Halder KG","halder.com","Precision Metal Forming","Germany","50+"
"Erwin Renz Metallwarenfabrik GmbH & Co KG","renzgroup.de","Precision Metal Forming","Germany","50+"
"ETO GRUPPE (ETO MAGNETIC GmbH)","etogruppe.com","Precision Metal Forming","Germany","50+"
"ETTINGER GmbH","ettinger.de","Precision Metal Forming","Germany","50+"
"EuroTec GmbH","eurotec.team","Precision Metal Forming","Germany","50+"
"Euscher GmbH & Co. KG","euscher.com","Precision Metal Forming","Germany","50+"
"Evotec GmbH Arnsberg","lohnstanzen.de","Precision Metal Forming","Germany","50+"
"Evotec GmbH Stanz- und Umformtechnik","stanz-und-umformtechnik.com","Precision Metal Forming","Germany","50+"
"EXTE Gruppe","exte.de","Precision Metal Forming","Germany","50+"
"Fastenrath GmbH & Co. KG","fastenrath.de","Precision Metal Forming","Germany","50+"
"FATH Western Europe","fath24.com","Precision Metal Forming","Germany","50+"
"Federnfabrik Dietz GmbH","dietz-federn.de","Precision Metal Forming","Germany","50+"
"Federntechnik Knoerzer GmbH","knoerzer.de","Precision Metal Forming","Germany","50+"
"Feinwerktechnik hago GmbH","hago-ft.de","Precision Metal Forming","Germany","50+"
"FEW Automotive Group","few-group.com","Precision Metal Forming","Germany","50+"
"FIDLOCK","fidlock.com","Precision Metal Forming","Germany","50+"
"finova Feinschneidtechnik GmbH","finova-gmbh.de","Precision Metal Forming","Germany","50+"
"Fischer & Kaufmann GmbH & Co. KG (FIUKA)","fiuka.de","Precision Metal Forming","Germany","50+"
"Fischer Elektronik GmbH & Co. KG","fischerelektronik.de","Precision Metal Forming","Germany","50+"
"Fischer Fertigungstechnik GmbH","fischer-fertigungstechnik.de","Precision Metal Forming","Germany","50+"
"fischer group","fischer-international.com","Precision Metal Forming","Germany","50+"
"Fischer Stanz- und Umformtechnik GmbH","fischer-stanz.com","Precision Metal Forming","Germany","50+"
"fischerwerke GmbH & Co. KG","fischer.de","Precision Metal Forming","Germany","50+"
"Flaig + Hommel GmbH","flaig-hommel.de","Precision Metal Forming","Germany","50+"
"Formteil- und Schraubenwerk Finsterwalde GmbH","af-fiwa.de","Precision Metal Forming","Germany","50+"
"Framo Morat GmbH & Co. KG","framo-morat.com","Precision Metal Forming","Germany","50+"
"Franke GmbH","franke-gmbh.de","Precision Metal Forming","Germany","50+"
"Franz Binder GmbH & Co. Elektrische Bauelemente KG","binder-connector.com","Precision Metal Forming","Germany","50+"
"Franz Lotz Werkzeugbau GmbH & Co. KG","werkzeugbau-lotz.de","Precision Metal Forming","Germany","50+"
"FUCHS Schraubenwerk GmbH","fuchs-schrauben.de","Precision Metal Forming","Germany","50+"
"G.RAU GmbH & Co. KG","g-rau.de","Precision Metal Forming","Germany","50+"
"Gebr. Kemper GmbH + Co. KG","kemper-group.com","Precision Metal Forming","Germany","50+"
"Gebrueder Martin GmbH & Co. KG (KLS Martin Group)","klsmartin.com","Precision Metal Forming","Germany","50+"
"Gebrüder Wagner GmbH Stanztechnik & Werkzeugbau","wagner-stanztechnik.com","Precision Metal Forming","Germany","50+"
"GEDIA Deutschland","gedia.com","Precision Metal Forming","Germany","50+"
"GEMUE Gebr. Mueller Apparatebau GmbH & Co. KG","gemu-group.com","Precision Metal Forming","Germany","50+"
"Georg Martin GmbH","georgmartin.de","Precision Metal Forming","Germany","50+"
"Glüpker Blechtechnologie GmbH","gluepker-blechtechnologie.de","Precision Metal Forming","Germany","50+"
"GMA GmbH Feinstanztechnik","gma.de","Precision Metal Forming","Germany","50+"
"GMAK Kaltformteile GmbH & Co. KG","gmak.de","Precision Metal Forming","Germany","50+"
"Gottlieb Binder GmbH & Co. KG","binder.de","Precision Metal Forming","Germany","50+"
"Graepel","graepel.de","Precision Metal Forming","Germany","50+"
"Gretsch-Unitas GmbH (GU-Gruppe)","g-u.com","Precision Metal Forming","Germany","50+"
"GRITEC GmbH","gritec.com","Precision Metal Forming","Germany","50+"
"Groz-Beckert KG","groz-beckert.com","Precision Metal Forming","Germany","50+"
"Grüner Systemtechnik GmbH & Co. KG","gruener-systemtechnik.de","Precision Metal Forming","Germany","50+"
"Gust. Alberts GmbH & Co. KG","alberts.de","Precision Metal Forming","Germany","50+"
"Gutekunst + Co. KG Federnfabriken","gutekunst-federn.de","Precision Metal Forming","Germany","50+"
"Gutekunst Formfedern GmbH","gutekunst-formfedern.de","Precision Metal Forming","Germany","50+"
"H&T Battery Components","ht-bc.com","Precision Metal Forming","Germany","50+"
"H&T Recharge","ht-recharge.com","Precision Metal Forming","Germany","50+"
"H. u. E. Büschel GmbH","bueschel.de","Precision Metal Forming","Germany","50+"
"H.O.Persiehl (GmbH & Co.) KG","persiehl.de","Precision Metal Forming","Germany","50+"
"H2Stamping","h2stamping.com","Precision Metal Forming","Germany","50+"
"Haga Metallverarbeitung GmbH","haga-nuernberg.de","Precision Metal Forming","Germany","50+"
"Hahn Gasfedern GmbH","hahn-gasfedern.de","Precision Metal Forming","Germany","50+"
"hapo GmbH Stanzteile und Umformtechnik","hapo-velbert.de","Precision Metal Forming","Germany","50+"
"Harmonic Drive SE","harmonicdrive.de","Precision Metal Forming","Germany","50+"
"HARTING Technologiegruppe","harting.com","Precision Metal Forming","Germany","50+"
"HAWE Hydraulik SE","hawe.com","Precision Metal Forming","Germany","50+"
"HECKLER AG","heckler.de","Precision Metal Forming","Germany","50+"
"HECO-Schrauben GmbH & Co. KG","heco-schrauben.de","Precision Metal Forming","Germany","50+"
"HEICO Befestigungstechnik GmbH","heico-group.com","Precision Metal Forming","Germany","50+"
"Heilbronn Unternehmensgruppe","heilbronn-gruppe.com","Precision Metal Forming","Germany","50+"
"Heinrich & Walter Dahmen GmbH & Co. KG","dahmen-umformtechnik.de","Precision Metal Forming","Germany","50+"
"Heinrich Eibach GmbH","eibach.de","Precision Metal Forming","Germany","50+"
"HEINRICH KIPP WERK GmbH & Co. KG","kippwerk.de","Precision Metal Forming","Germany","50+"
"Heinz Zimmermann Stanztechnik GmbH","heinz-zimmermann.de","Precision Metal Forming","Germany","50+"
"Heitkamp & Thumann Group","ht-group.com","Precision Metal Forming","Germany","50+"
"HERA Rahmer GmbH & Co. KG","hera-rahmer.com","Precision Metal Forming","Germany","50+"
"Hettich Holding GmbH & Co. oHG","hettich.com","Precision Metal Forming","Germany","50+"
"HEWI G. Winker GmbH & Co. KG","hewi-group.com","Precision Metal Forming","Germany","50+"
"Hilite International","hilite.com","Precision Metal Forming","Germany","50+"
"HILO Group","hilo-group.com","Precision Metal Forming","Germany","50+"
"Hinderer + Mühlich","hinderer-muehlich.com","Precision Metal Forming","Germany","50+"
"Hirschvogel Holding GmbH","hirschvogel.com","Precision Metal Forming","Germany","50+"
"HMT Heldener Metalltechnik","hmt-automotive.com","Precision Metal Forming","Germany","50+"
"HMT Stanz- und Umformtechnik GmbH","hmtgmbh.de","Precision Metal Forming","Germany","50+"
"HUBER innovative engineering","hubertech.de","Precision Metal Forming","Germany","50+"
"Hubert Stüken GmbH & Co. KG","stueken.com","Precision Metal Forming","Germany","50+"
"Hubert Stüken GmbH & Co. KG","stueken.de","Precision Metal Forming","Germany","50+"
"Hugo Benzing GmbH & Co. KG","hugobenzing.de","Precision Metal Forming","Germany","50+"
"Hugo Kern und Liebers GmbH & Co. KG","kern-liebers.com","Precision Metal Forming","Germany","50+"
"Hugo Kern und Liebers GmbH & Co. KG","kern-liebers.de","Precision Metal Forming","Germany","50+"
"Huhn Teckentrup GmbH & Co. KG","teckentrup.de","Precision Metal Forming","Germany","50+"
"Hummel AG","hummel.com","Precision Metal Forming","Germany","50+"
"HÖRMANN Automotive","hoermann-automotive.com","Precision Metal Forming","Germany","50+"
"HÖRMANN Gruppe","hoermann-gruppe.com","Precision Metal Forming","Germany","50+"
"IFA Powertrain GmbH & Co. KG","ifa-group.com","Precision Metal Forming","Germany","50+"
"implantcast GmbH","implantcast.de","Precision Metal Forming","Germany","50+"
"IMR Industries","imr-industries.com","Precision Metal Forming","Germany","50+"
"IMS Gear SE & Co. KGaA","imsgear.com","Precision Metal Forming","Germany","50+"
"IPMA-Group","ipma-group.com","Precision Metal Forming","Germany","50+"
"ISRINGHAUSEN GmbH & Co. KG","isri.com","Precision Metal Forming","Germany","50+"
"iwis antriebssysteme GmbH & Co. KG","iwis.com","Precision Metal Forming","Germany","50+"
"Jacob GmbH Elektrotechnische Fabrik","jacob-gmbh.de","Precision Metal Forming","Germany","50+"
"JDT J.D. Theile GmbH & Co. KG","jdt.de","Precision Metal Forming","Germany","50+"
"Joh. Fr. Müller GmbH & Co. KG (jofrim)","jofrim.de","Precision Metal Forming","Germany","50+"
"Joh. Jean Weiler GmbH & Co. KG","jjweiler.de","Precision Metal Forming","Germany","50+"
"Jonas Werkzeugbau Stanzerei GmbH","jonas-stanztechnik.de","Precision Metal Forming","Germany","50+"
"JOPP","jopp.com","Precision Metal Forming","Germany","50+"
"Josef Hafner GmbH & Co. KG","josef-hafner.de","Precision Metal Forming","Germany","50+"
"KAMAX GmbH & Co. KG","kamax.com","Precision Metal Forming","Germany","50+"
"Karl Enghofer GmbH & Co. KG","enghofer.de","Precision Metal Forming","Germany","50+"
"Karl Naumann GmbH & Co. KG","karl-naumann.de","Precision Metal Forming","Germany","50+"
"Karl Simon GmbH & Co. KG","simon.group","Precision Metal Forming","Germany","50+"
"KARL STORZ SE & Co. KG","karlstorz.com","Precision Metal Forming","Germany","50+"
"Keiper","keiper.com","Precision Metal Forming","Germany","50+"
"Kerb-Konus-Vertriebs-GmbH","kerbkonus.de","Precision Metal Forming","Germany","50+"
"KERN LIEBERS Schwabmünchen GmbH","eberle-federn.de","Precision Metal Forming","Germany","50+"
"Kesseboehmer Holding KG","kessebohmer.de","Precision Metal Forming","Germany","50+"
"KettenWulf Betriebs GmbH","kettenwulf.com","Precision Metal Forming","Germany","50+"
"KICO GROUP","kico.de","Precision Metal Forming","Germany","50+"
"Kienle + Spiess GmbH","kienle-spiess.de","Precision Metal Forming","Germany","50+"
"KLEiN Umformtechnik GmbH","klein-ut.de","Precision Metal Forming","Germany","50+"
"KLEINER GmbH Stanztechnik","kleiner-gmbh.de","Precision Metal Forming","Germany","50+"
"KMW Parth GmbH","kmw-net.de","Precision Metal Forming","Germany","50+"
"Koch Group","kochtechnology.de","Precision Metal Forming","Germany","50+"
"KochS Tooling GmbH","koch-automotive.com","Precision Metal Forming","Germany","50+"
"Koelle GmbH Werkzeugbau und Stanzerei","koelle-gmbh.de","Precision Metal Forming","Germany","50+"
"Koenigsee Implantate GmbH","koenigsee-implantate.de","Precision Metal Forming","Germany","50+"
"KOHLHAGE Fasteners GmbH & Co. KG","kohlhage.de","Precision Metal Forming","Germany","50+"
"KOKI TECHNIK Transmission Systems GmbH","kokitransmission.com","Precision Metal Forming","Germany","50+"
"Kraft Group","kraft-group.com","Precision Metal Forming","Germany","50+"
"Kratzer GmbH & Co. KG","kratzer.de","Precision Metal Forming","Germany","50+"
"KTX GmbH","ktx.group","Precision Metal Forming","Germany","50+"
"KUM GmbH & Co. KG","kum.net","Precision Metal Forming","Germany","50+"
"Kummer GmbH & Co. KG","kummer-gmbh.de","Precision Metal Forming","Germany","50+"
"KWD Automotive AG & Co. KG","kwdag.com","Precision Metal Forming","Germany","50+"
"KÖNIG METALL group","koenigmetall.com","Precision Metal Forming","Germany","50+"
"Lang Metallwarenproduktion GmbH","lang-metall.de","Precision Metal Forming","Germany","50+"
"Leicht + Müller Stanztechnik GmbH + Co. KG","leicht-mueller.de","Precision Metal Forming","Germany","50+"
"Leopold Kostal GmbH & Co. KG","kostal.com","Precision Metal Forming","Germany","50+"
"LINDE + WIEMANN Group","linde-wiemann.com","Precision Metal Forming","Germany","50+"
"Lohmann-koester GmbH & Co.KG","lohmann-koester.com","Precision Metal Forming","Germany","50+"
"LTI-Metalltechnik GmbH","lti-metalltechnik.de","Precision Metal Forming","Germany","50+"
"Lueb & Schumacher GmbH & Co. KG","lueb-schumacher.de","Precision Metal Forming","Germany","50+"
"Lumberg Holding GmbH & Co. KG","lumberg.com","Precision Metal Forming","Germany","50+"
